Setor,Subsetor,Nome,Codigo,Tipo
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",3R PETROLEUM,RRRP,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",COSAN       ,CSAN,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",DOMMO,DMMO,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ENAUTA PART,ENAT,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PET MANGUINH,RPMG,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETROBRAS   ,PETR,N2
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETROBRAS BR,BRDT,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETRORIO,PRIO,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ULTRAPAR    ,UGPA,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",LUPATECH    ,LUPA,NM             
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",OSX BRASIL  ,OSXB,NM             
Materiais Básicos,Mineração,BRADESPAR   ,BRAP,N1             
Materiais Básicos,Mineração,LITEL       ,LTEL,MB             
Materiais Básicos,Mineração,LITELA,LTLA,MB             
Materiais Básicos,Mineração,MMX MINER   ,MMXM,NM             
Materiais Básicos,Mineração,VALE        ,VALE,NM             
Materiais Básicos,Siderurgia e Metalurgia,FERBASA     ,FESA,N1             
Materiais Básicos,Siderurgia e Metalurgia,GERDAU      ,GGBR,N1             
Materiais Básicos,Siderurgia e Metalurgia,GERDAU MET  ,GOAU,N1             
Materiais Básicos,Siderurgia e Metalurgia,SID NACIONAL,CSNA,N1             
Materiais Básicos,Siderurgia e Metalurgia,USIMINAS    ,USIM,N1             
Materiais Básicos,Siderurgia e Metalurgia,MANGELS INDL,MGEL,N1             
Materiais Básicos,Siderurgia e Metalurgia,PANATLANTICA,PATI,N1             
Materiais Básicos,Siderurgia e Metalurgia,TEKNO       ,TKNO,N1             
Materiais Básicos,Siderurgia e Metalurgia,PARANAPANEMA,PMAM,NM             
Materiais Básicos,Químicos,BRASKEM     ,BRKM,N1             
Materiais Básicos,Químicos,GPC PART    ,GPCP,N1             
Materiais Básicos,Químicos,FER HERINGER,FHER,NM             
Materiais Básicos,Químicos,NUTRIPLANT  ,NUTR,MA             
Materiais Básicos,Químicos,CRISTAL,CRPG,MA             
Materiais Básicos,Químicos,UNIPAR      ,UNIP,MA             
Materiais Básicos,Madeira e Papel,DURATEX     ,DTEX,NM             
Materiais Básicos,Madeira e Papel,EUCATEX     ,EUCA,N1             
Materiais Básicos,Madeira e Papel,IRANI ,RANI,N1             
Materiais Básicos,Madeira e Papel,KLABIN S/A  ,KLBN,N2
Materiais Básicos,Madeira e Papel,MELHOR SP   ,MSPA,N2
Materiais Básicos,Madeira e Papel,SUZANO HOLD ,NEMO,N2
Materiais Básicos,Madeira e Papel,SUZANO S.A.,SUZB,NM             
Materiais Básicos,Embalagens,METAL IGUACU,MTIG,NM             
Materiais Básicos,Materiais Diversos,SANSUY      ,SNSY,NM             
Materiais Básicos,Materiais Diversos,SANSUY      ,SNSY,NM             
Bens Industriais,Construção e Engenharia,ETERNIT     ,ETER,NM             
Bens Industriais,Construção e Engenharia,HAGA S/A    ,HAGA,NM             
Bens Industriais,Construção e Engenharia,PORTOBELLO  ,PTBL,NM             
Bens Industriais,Construção e Engenharia,AZEVEDO     ,AZEV,NM             
Bens Industriais,Construção e Engenharia,SONDOTECNICA,SOND,NM             
Bens Industriais,Construção e Engenharia,TECNOSOLO   ,TCNO,NM             
Bens Industriais,Construção e Engenharia,MILLS       ,MILS,NM             
Bens Industriais,Material de Transporte,EMBRAER     ,EMBR,NM             
Bens Industriais,Material de Transporte,FRAS-LE     ,FRAS,N1             
Bens Industriais,Material de Transporte,MARCOPOLO   ,POMO,N2             
Bens Industriais,Material de Transporte,RANDON PART ,RAPT,N1             
Bens Industriais,Material de Transporte,RECRUSUL    ,RCSL,N1             
Bens Industriais,Material de Transporte,RIOSULENSE  ,RSUL,N1             
Bens Industriais,Material de Transporte,TUPY        ,TUPY,NM             
Bens Industriais,Material de Transporte,WETZEL S/A  ,MWET,NM             
Bens Industriais,Máquinas e Equipamentos,SCHULZ      ,SHUL,NM             
Bens Industriais,Máquinas e Equipamentos,WEG         ,WEGE,NM             
Bens Industriais,Máquinas e Equipamentos,ACO ALTONA  ,EALT,NM             
Bens Industriais,Máquinas e Equipamentos,AERIS,AERI,NM             
Bens Industriais,Máquinas e Equipamentos,BARDELLA    ,BDLL,NM             
Bens Industriais,Máquinas e Equipamentos,INDS ROMI   ,ROMI,NM             
Bens Industriais,Máquinas e Equipamentos,INEPAR      ,INEP,NM             
Bens Industriais,Máquinas e Equipamentos,KEPLER WEBER,KEPL,NM             
Bens Industriais,Máquinas e Equipamentos,METALFRIO   ,FRIO,NM             
