currency code,currency name,Ranking
BTC,Bitcoin,1
ETH,Ethereum,2
USDT,Tether,3
ADA,Cardano,4
XRP,Ripple,5
DOT,Polkadot,6
BNB,Binance Coin,7
LTC,Litecoin,8
LINK,ChainLink,9
DOGE,DogeCoin,10
XLM,Stellar,11
BCH,Bitcoin Cash,12
EOS,EOS,18
XMR,Monero,20
TRX,Tron,21
XTZ,Tezos,22
MKR,Maker,23
SNX,Synthetix Network Token,24
THETA,Theta Token,25
VEN,VeChain,28
NEO,NEO,32
DAI,Dai,36
IOTA,IOTA,37
DASH,Dash,43
DCR,Decred,48
ZEC,Zcash,50
R,Revain,51
ETC,Ethereum Classic,52
WAVES,Waves,57
ZIL,Zilliqa,58
LRC,Loopring,60
OMG,OmiseGo,64
BAT,Basic Attention Token,68
ONT,Ontology,70
DGB,DigiByte,71
NANO,Nano,73
ICX,ICON,74
TUSD,TrueUSD,78
QTUM,Qtum,79
SC,Siacoin,82
MANA,Decentraland,83
KNC,Kyber Network,87
ENJ,Enjin Coin,89
IOST,IOStoken,90
XVG,Verge,93
FUN,FunFair,101
REP,Augur,108
BTG,Bitcoin Gold,114
ANT,Aragon,116
LSK,Lisk,117
MAID,MaidSafeCoin,123
CVC,Civic,129
NMR,Numeraire,132
XWC,WhiteCoin,138
BCD,Bitcoin Diamond,142
IOTX,IoTeX,145
BTS,BitShares,151
UTK,UTrust,152
AMP,AMP,154
MONA,MonaCoin,158
STORJ,Storj,161
BTM,Bitmark,163
KMD,Komodo,168
ARDR,Ardor,169
ELF,aelf,171
STEEM,Steem,173
RDD,ReddCoin,174
PPT,Populous,179
BCN,Bytecoin,189
WAN,Wanchain,190
STRAT,Stratis,193
ARK,Ark,196
SYS,SysCoin,200
KIN,KIN,201
POLY,Polymath,203
WAX,WAX,204
TRAC,OriginTrail,205
XHV,Haven Protocol,208
MLN,Melon,214
ADX,AdEx,216
LBC,LBRY Credits,217
POWR,Power Ledger,224
ETN,Electroneum,229
REQ,Request Network,242
ELA,Elastos,243
XMT,Metal,253
AION,Aion,258
NET,Nimiq,259
NULS,Nuls,260
DENT,Dent,265
DGD,DigixDAO,266
BLZ,Bluzelle,269
RCN,Ripio Credit Network,270
NXS,Nexus,273
PIVX,PIVX,274
DRGN,Dragonchain,275
CTXC,Cortex,277
GRS,Groestlcoin,278
AST,AirSwap,280
IGNIS,Ignis,281
QSP,Quantstamp,292
SALT,Salt,293
CND,Cindicator,298
EDG,Edgeless,308
QRL,Quantum Resistant Ledger,309
NAV,Nav Coin,322
VTC,Vertcoin,323
GAS,Gas,325
1ST,FirstBlood,#N/A
2GIVE,GiveCoin,#N/A
808,808Coin,#N/A
ABT,ArcBlock,#N/A
ABY,ArtByte,#N/A
AC,AsiaCoin,#N/A
ACT,Achain,#N/A
ADT,adToken,#N/A
AE,Aeternity,#N/A
AEON,Aeon,#N/A
AGI,SingularityNET,#N/A
AGRS,IDNI Agoras,#N/A
AI,POLY AI,#N/A
AID,AidCoin,#N/A
AIR,AirToken,#N/A
AKY,Akuya Coin,#N/A
ALIS,ALIS,#N/A
AMBER,AmberCoin,#N/A
AMPL,Ampleforth,#N/A
ANC,Anoncoin,#N/A
APPC,AppCoins,#N/A
APX,APX Ventures,#N/A
ARN,Aeron,#N/A
ATB,ATBCoin,#N/A
ATM,ATMChain,#N/A
ATS,Authorship,#N/A
AUR,Auroracoin,#N/A
AVT,Aventus,#N/A
B3,B3Coin,#N/A
BAY,BitBay,#N/A
BBR,Boolberry,#N/A
BCAP,BCAP,#N/A
BCC,BitConnect,#N/A
BCPT,BlockMason Credit Protocol Token,#N/A
BCX,BitcoinX,#N/A
BCY,BitCrystals,#N/A
BDL,Bitdeal,#N/A
BEE,Bee Token,#N/A
BELA,BelaCoin,#N/A
BET,DAO Casino,#N/A
BFT,BF Token,#N/A
BIS,Bismuth,#N/A
BITB,BitBean,#N/A
BITBTC,BitBTC,#N/A
BITCNY,BitCNY,#N/A
BITEUR,BitEUR,#N/A
BITGOLD,BitGOLD,#N/A
BITSILVER,BitSILVER,#N/A
BITUSD,BitUSD,#N/A
BIX,Bibox Token,#N/A
BLITZ,Blitzcash,#N/A
BLK,Blackcoin,#N/A
BLN,Bolenum,#N/A
BLOCK,Blocknet,#N/A
BMC,Blackmoon Crypto,#N/A
BNT,Bancor Network Token,#N/A
BNTY,Bounty0x,#N/A
BOST,BoostCoin,#N/A
BOT,Bodhi,#N/A
BQ,bitqy,#N/A
BRD,Bread,#N/A
BRK,Breakout Coin,#N/A
BRX,Breakout Stake,#N/A
BTA,Bata,#N/A
BTCD,BitcoinDark,#N/A
BTCP,Bitcoin Private,#N/A
BTSR,BTSR,#N/A
BTX,Bitcore,#N/A
BURST,Burstcoin,#N/A
BUSD,Binance USD,#N/A
BUZZ,BuzzCoin,#N/A
BYC,Bytecent,#N/A
BYTOM,Bytom,#N/A
C20,Crypto20,#N/A
CANN,CannabisCoin,#N/A
CAT,BlockCAT,#N/A
CCRB,CryptoCarbon,#N/A
CDT,Blox,#N/A
CFI,Cofound it,#N/A
CHAT,ChatCoin,#N/A
CHIPS,Chips,#N/A
CLAM,Clams,#N/A
CLOAK,CloakCoin,#N/A
CMP,Compcoin,#N/A
CMT,CyberMiles,#N/A
CNX,Cryptonex,#N/A
COFI,CoinFi,#N/A
COSS,COSS,#N/A
COVAL,Circuits Of Value,#N/A
CRBIT,CreditBIT,#N/A
CREA,CreativeCoin,#N/A
CREDO,Credo,#N/A
CRW,Crown,#N/A
CSNO,BitDice,#N/A
CTR,Centra,#N/A
CURE,CureCoin,#N/A
DAR,Darcrus,#N/A
DATA,DATAcoin,#N/A
DAY,Chronologic,#N/A
DBC,DeepBrain Chain,#N/A
DBIX,DubaiCoin,#N/A
DCN,Dentacoin,#N/A
DCT,DECENT,#N/A
DDF,Digital Developers Fund,#N/A
DFS,DFSCoin,#N/A
DGC,Digitalcoin,#N/A
DICE,Etheroll,#N/A
DLT,Agrello Delta,#N/A
DMD,Diamond,#N/A
DMT,DMarket,#N/A
DNT,district0x,#N/A
DOPE,DopeCoin,#N/A
DTA,Data,#N/A
DTB,Databits,#N/A
DYN,Dynamic,#N/A
EAC,EarthCoin,#N/A
EBST,eBoost,#N/A
EBTC,eBTC,#N/A
ECC,ECC,#N/A
ECN,E coin,#N/A
EDO,Eidoo,#N/A
EFL,Electronic Gulden,#N/A
EGC,EverGreenCoin,#N/A
EKT,EDUCare,#N/A
ELEC,Electrify.Asia,#N/A
ELIX,Elixir,#N/A
EMB,Embercoin,#N/A
EMC,Emercoin,#N/A
EMC2,Einsteinium,#N/A
ENG,Enigma,#N/A
ENRG,EnergyCoin,#N/A
EOT,EOT Token,#N/A
EQT,EquiTrader,#N/A
ERC,EuropeCoin,#N/A
ETHD,Ethereum Dark,#N/A
ETHOS,Ethos,#N/A
ETP,Metaverse Entropy,#N/A
ETT,EncryptoTel,#N/A
EVE,Devery,#N/A
EVX,Everex,#N/A
EXCL,ExclusiveCoin,#N/A
EXP,Expanse,#N/A
FCT,Factom,#N/A
FLDC,FoldingCoin,#N/A
FLO,FlorinCoin,#N/A
FLT,FlutterCoin,#N/A
FRST,FirstCoin,#N/A
FTC,Feathercoin,#N/A
FUEL,Etherparty,#N/A
GAM,Gambit,#N/A
GAME,GameCredits,#N/A
GBG,Golos Gold,#N/A
GBX,GoByte,#N/A
GBYTE,Byteball,#N/A
GCR,GCRCoin,#N/A
GEO,GeoCoin,#N/A
GLD,GoldCoin,#N/A
GNO,Gnosis Token,#N/A
GNT,Golem Tokens,#N/A
GOLOS,Golos,#N/A
GRC,Gridcoin,#N/A
GRT,Graph,#N/A
GRWI,Growers International,#N/A
GTC,Game,#N/A
GTO,Gifto,#N/A
GUP,Guppy,#N/A
GVT,Genesis Vision,#N/A
GXS,GXShares,#N/A
HBN,HoboNickels,#N/A
