EMPRESA,CODIGO,SETOR,PAIS DE ORIGEM
3M,MMMC34,Ind£stria diversificada,EUA
AB INBEV,ABUD34,Bebidas,BÇlgica
ABB LTD,A1BB34,Industrial,Switzerland
ABBOTT,ABTT34,Farmacàuticos,EUA
ABBVIE,ABBV34,Medicamentos e Outros Produtos,EUA
ABIOMED INC,A1BM34,Sa£de,EUA
ACTIVISIONˇ,ATVI34,Tecnologia,EUA
ADOBE INC,ADBE34,Tecnologia,EUA
ADVANCE AUTO PARTS INC,A1AP34,Peáas Automotivas,EUA
ADVANCED MIC,A1MD34,Tecnologia,EUA
AEGON NV,A1EG34,Financeiro,Holanda
AES CORP,A1ES34,Energia,EUA
AFLAC INC,A1FL34,Seguros,EUA
AIRBNB,AIRB34,Hospedagem,EUA
AGILENT TECHNOLOGIES INC,A1GI34,Tecnologia,EUA
AIR PRODUCTS & CHEMICALS INC,A1PD34,Qu°micos,EUA
AKAMAI TECHNOLOGIES INC,A1KA34,Tecnologia,EUA
ALASKA AIR GROUP INC,A1LK34,Holding companhias aÇras,EUA
ALBEMARLE CORP,A1LB34,Qu°micos,EUA
ALEXANDRIA REAL ESTATE EQUITIES INC,A1RE34,Fundo de investimento imobili†rio,EUA
ALEXION PHAR,A1LX34,Farmacàuticos,EUA
ALIBABAGR,BABA34,Tecnologia / E-Commerce,China
ALIGN TECHNOLOGY INC,A1LG34,Equipamentos mÇdicos,EUA
ALLEGION PLC,A1GN34,Produtos de seguranáa,EUA
ALLIANCE DATA SYSTEMS CORP,A1LL34,Serviáos,EUA
ALLIANT ENERGY CORP,A1EN34,Energia,EUA
ALLSTATE CORP,A1TT34,Seguros,EUA
ALNYLAM PHARMACEUTICALS INC,A1LN34,Farmacàutico,EUA
ALPHABET,GOGL34,Tecnologia,EUA
ALPHABET,GOGL35,Tecnologia,EUA
ALTERYX INC,A1YX34,Tecnologia,EUA
ALTRIA GROUP,MOOO34,ComÇrcio ? Tabacoˇ,EUA
AMCOR PLC,A1CR34,Industrial,Reino Unido
AMEREN CORP,A1EE34,Energia,EUA
AMêRICA M?VIL SAB DE CV,A1MX34,Comunicaá?o,Mexico
AMERICAN AIR,AALL34,Transporte AÇreo,EUA
AMERICAN ELE,A1EP34,Energia ElÇtrica,EUA
AMERICAN TOWER CORP,T1OW34,Tecnologia,EUA
AMERICAN WATER WORKS CO INC,A1WK34,Tratamento de †gua,EUA
AMERIPRISE FINANCIAL INC,A1MP34,Serviáos Financeirosˇ,EUA
AMERISOURCEBERGEN CORP,A1MB34,Medicamentosˇ,EUA
AMETEK INC,A1ME34,Eletroeletrìnicos,EUA
AMGEN,AMGN34,Biotecnologia,EUA
AMPHENOL CORP,A1PH34,Eletroeletrìnico,EUA
ANALOG DEVIC,A1DI34,Tecnologia,EUA
ANGLOGOLD ASHANTI LTD,A1UA34,Mineraá?o,South Africa
ANSYS INC,A1NS34,Tecnologia,EUA
ANTHEM INC,A1NT34,Seguros,EUA
AO SMITH COR,A1OS34,Aquecedores de †gua,EUA
AON PLC,A1ON34,Seguros,EUA
APACHE CORP,A1PA34,"Petr¢leo, G†s e Biocombust°veis",EUA
